Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SVpct,GAA,SO,GPS,MIN,QS,QSpct,RBS,GApct,GSAA,G,A,PTS,PIM,Season
Roberto Luongo, 38, FLA, 35, 33, 18, 11, 2, 81, 1143, 1062, .929, 2.47, 3, 8.5, 1966, 22, .667, 3, 81, 19.32, 0, 2, 2, 0,2017-18
Alex Lyon, 25, PHI, 11, 7, 4, 2, 1, 22, 232, 210, .905, 2.75, 0, 1.1, 480, 3, .429, 2, , , 0, 0, 0, 0,2017-18
Jacob Markstrom, 28, VAN, 60, 57, 23, 26, 7, 154, 1745, 1591, .912, 2.71, 2, 9.6, 3414, 29, .509, 8, 101, -0.84, 0, 3, 3, 4,2017-18
Steve Mason, 29, WPG, 13, 12, 5, 6, 1, 37, 392, 355, .906, 3.24, 1, 1.9, 685, 5, .417, 3, 108, -2.59, 0, 1, 1, 0,2017-18
Curtis McElhinney, 34, TOR, 18, 15, 11, 5, 1, 35, 528, 493, .934, 2.14, 3, 4.2, 979, 8, .533, 1, 76, 11.34, 0, 1, 1, 0,2017-18
Mike McKenna, 34, DAL, 2, 1, 1, 1, 0, 5, 50, 45, .900, 2.96, 0, 0.2, 101, 0, .000, 1, , , 0, 0, 0, 0,2017-18
Ryan Miller, 37, ANA, 28, 21, 12, 6, 6, 53, 739, 686, .928, 2.35, 4, 5.4, 1353, 13, .619, 3, 82, 11.86, 0, 0, 0, 0,2017-18
Al Montoya, 32, TOT, 13, 8, 4, 3, 2, 37, 346, 309, .893, 3.21, 0, 1.2, 692, 1, .125, 2, 122, -6.63, 0, 2, 2, 0,2017-18
Al Montoya, 32, EDM, 9, 5, 2, 2, 2, 23, 244, 221, .906, 2.94, 0, 1.2, 469, 1, .200, 1, , , 0, 1, 1, 0,2017-18
Al Montoya, 32, MTL, 4, 3, 2, 1, 0, 14, 102, 88, .863, 3.77, 0, 0.0, 223, 0, .000, 1, , , 0, 1, 1, 0,2017-18
Petr Mrazek, 25, TOT, 39, 33, 14, 13, 6, 106, 1080, 974, .902, 3.03, 4, 4.8, 2097, 11, .333, 8, 112, -11.21, 0, 0, 0, 0,2017-18
Petr Mrazek, 25, DET, 22, 18, 8, 7, 3, 57, 630, 573, .910, 2.89, 3, 3.3, 1184, 7, .389, 4, 103, -1.71, 0, 0, 0, 0,2017-18
Petr Mrazek, 25, PHI, 17, 15, 6, 6, 3, 49, 450, 401, .891, 3.22, 1, 1.5, 913, 4, .267, 4, 124, -9.50, 0, 0, 0, 0,2017-18
Matt Murray, 23, PIT, 49, 45, 27, 16, 3, 133, 1423, 1290, .907, 2.92, 1, 7.0, 2733, 19, .422, 6, 106, -8.11, 0, 1, 1, 2,2017-18
Michal Neuvirth, 29, PHI, 22, 18, 9, 7, 3, 45, 530, 485, .915, 2.60, 1, 3.1, 1039, 10, .556, 5, 97, 1.52, 0, 1, 1, 0,2017-18
Antti Niemi, 34, TOT, 24, 20, 7, 9, 4, 63, 710, 647, .911, 3.12, 1, 3.9, 1213, 12, .600, 4, 101, -0.68, 0, 1, 1, 0,2017-18
Antti Niemi, 34, MTL, 19, 17, 7, 5, 4, 42, 592, 550, .929, 2.46, 1, 4.4, 1026, 12, .706, 2, 81, 9.96, 0, 0, 0, 0,2017-18
