Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,GAA,SO,GPS,MIN,QS,RBS,GSAA,G,A,PTS,PIM,Season,SV%,QS%,GA%
Dunc Wilson,22, VAN,35,0,3,25,2,128,1072,944,4.3,0,1.6,1784,0,0,-24.28,0,0,0,18,1970-71,0.8809999999999999,0.0,123
Gump Worsley*,41, MNS,24,0,4,10,8,57,714,657,2.5,0,5.0,1367,0,0,12.08,0,0,0,10,1970-71,0.92,0.0,83
Chris Worthy,23, CGS,11,0,1,3,1,39,279,240,4.94,0,0.0,474,0,0,0.0,0,0,0,2,1970-71,0.86,0.0,0
Les Binkley,35, PIT,27,0,10,13,1,79,692,613,3.21,3,3.2,1476,0,0,-18.08,0,1,1,0,1969-70,0.8859999999999999,0.0,130
Johnny Bower*,45, TOR,1,0,0,1,0,5,38,33,5.0,0,0.0,60,0,0,0.0,0,0,0,0,1969-70,0.868,0.0,0
Ken Broderick,27, MNS,7,0,2,4,0,26,217,191,4.33,0,0.1,360,0,0,0.0,0,0,0,0,1969-70,0.88,0.0,0
Gerry Cheevers*,29, BOS,41,0,24,8,8,108,1337,1229,2.72,4,7.2,2384,0,0,9.69,0,0,0,4,1969-70,0.919,0.0,92
Roger Crozier,27, DET,34,0,16,6,9,83,1035,952,2.65,0,5.8,1876,0,0,8.11,0,0,0,0,1969-70,0.92,0.0,91
Joe Daley,26, PIT,9,0,1,5,3,26,258,232,2.96,0,1.4,527,0,0,0.0,0,0,0,0,1969-70,0.899,0.0,0
Denis DeJordy,31, TOT,32,0,8,16,5,87,911,824,3.07,0,4.2,1702,0,0,-6.81,0,0,0,0,1969-70,0.905,0.0,108
Denis DeJordy,31, LAK,21,0,5,11,4,62,620,558,3.24,0,2.5,1147,0,0,-7.42,0,0,0,0,1969-70,0.9,0.0,114
Denis DeJordy,31, CBH,11,0,3,5,1,25,291,266,2.7,0,1.7,555,0,0,0.0,0,0,0,0,1969-70,0.914,0.0,0
Gerry Desjardins,25, TOT,47,0,11,29,5,167,1541,1374,3.73,3,3.7,2689,0,0,-31.35,0,1,1,14,1969-70,0.892,0.0,123
Gerry Desjardins,25, LAK,43,0,7,29,5,159,1401,1242,3.9,3,2.6,2449,0,0,-35.67,0,0,0,14,1969-70,0.887,0.0,129
Gerry Desjardins,25, CBH,4,0,4,0,0,8,140,132,2.0,0,1.0,240,0,0,0.0,0,0,0,0,1969-70,0.943,0.0,0
Gary Edwards,22, STL,1,0,0,1,0,4,31,27,4.0,0,0.1,60,0,0,0.0,0,0,0,0,1969-70,0.871,0.0,0
Marv Edwards,34, TOR,25,0,10,9,4,77,854,777,3.26,1,3.0,1419,0,0,-1.82,0,1,1,24,1969-70,0.91,0.0,102
Roy Edwards,32, DET,47,0,24,15,6,116,1364,1248,2.6,2,8.6,2680,0,0,4.07,0,1,1,0,1969-70,0.915,0.0,97
Tony Esposito*,26, CBH,63,0,38,17,8,136,1995,1859,2.17,15,14.7,3760,0,0,39.62,0,2,2,2,1969-70,0.932,0.0,77
Doug Favell,24, PHI,15,0,4,5,4,43,516,473,3.15,1,1.9,818,0,0,2.42,0,0,0,2,1969-70,0.917,0.0,95
Bruce Gamble,31, TOR,52,0,19,24,9,156,1838,1682,3.06,5,7.5,3054,0,0,5.8,0,1,1,0,1969-70,0.915,0.0,96
Ed Giacomin*,30, NYR,70,0,35,21,14,163,1941,1778,2.36,6,14.9,4141,0,0,7.86,0,2,2,2,1969-70,0.9159999999999999,0.0,95
Gilles Gilbert,20, MNS,1,0,0,1,0,6,39,33,6.0,0,-0.1,60,0,0,0.0,0,0,0,0,1969-70,0.846,0.0,0
Glenn Hall*,38, STL,18,0,7,8,3,49,507,458,2.91,1,2.7,1009,0,0,-4.37,0,0,0,0,1969-70,0.903,0.0,110
Charlie Hodge,36, OAK,14,0,3,5,2,43,408,365,3.51,0,1.3,736,0,0,-7.08,0,0,0,0,1969-70,0.895,0.0,120
Eddie Johnston,34, BOS,37,0,16,9,11,108,1151,1043,2.98,3,5.6,2174,0,0,-6.68,0,2,2,2,1969-70,0.9059999999999999,0.0,107
Cesare Maniago,31, MNS,50,0,9,24,16,163,1777,1614,3.39,2,5.5,2886,0,0,-6.57,0,0,0,0,1969-70,0.9079999999999999,0.0,104
Gerry McNamara,35, TOR,2,0,0,0,0,2,12,10,5.15,0,0.0,23,0,0,0.0,0,0,0,0,1969-70,0.833,0.0,0
Phil Myre,21, MTL,10,0,4,3,2,19,246,227,2.27,0,1.9,503,0,0,0.0,0,0,0,2,1969-70,0.9229999999999999,0.0,0
Bernie Parent*,24, PHI,62,0,13,29,20,171,2159,1988,2.8,3,10.6,3668,0,0,19.05,0,3,3,14,1969-70,0.9209999999999999,0.0,90
Jacques Plante*,41, STL,32,0,18,9,5,67,817,750,2.19,5,7.1,1838,0,0,4.92,0,2,2,0,1969-70,0.9179999999999999,0.0,93
Fern Rivard,24, MNS,14,0,3,5,5,42,464,422,3.15,1,1.8,800,0,0,-1.15,0,0,0,6,1969-70,0.909,0.0,103
Wayne Rutledge,28, LAK,20,0,2,12,1,68,623,555,4.27,0,0.4,956,0,0,-13.16,0,0,0,5,1969-70,0.8909999999999999,0.0,124
Terry Sawchuk*,40, NYR,8,0,3,1,2,20,187,167,2.91,1,1.1,412,0,0,0.0,0,1,1,0,1969-70,0.893,0.0,0
Al Smith,24, PIT,46,0,15,20,8,129,1283,1154,3.03,2,6.4,2554,0,0,-16.06,0,0,0,20,1969-70,0.899,0.0,114
Gary Smith,25, OAK,65,0,19,34,12,195,2230,2035,3.12,2,8.9,3756,0,0,1.3,0,1,1,18,1969-70,0.9129999999999999,0.0,99
Rogie Vachon*,24, MTL,64,0,31,18,12,162,1959,1797,2.64,4,11.6,3686,0,0,10.45,0,0,0,0,1969-70,0.917,0.0,94
Ernie Wakely,29, STL,30,0,12,9,4,58,823,765,2.11,4,6.6,1650,0,0,14.45,0,0,0,0,1969-70,0.93,0.0,80
Dunc Wilson,21, PHI,1,0,0,1,0,3,26,23,3.02,0,0.2,60,0,0,0.0,0,0,0,0,1969-70,0.885,0.0,0
Gump Worsley*,40, TOT,14,0,8,2,3,34,452,418,2.51,1,2.7,813,0,0,5.79,0,0,0,0,1969-70,0.925,0.0,85
Gump Worsley*,40, MNS,8,0,5,1,1,20,287,267,2.65,1,1.4,453,0,0,0.0,0,0,0,0,1969-70,0.93,0.0,0
Gump Worsley*,40, MTL,6,0,3,1,2,14,165,151,2.33,0,1.3,360,0,0,0.0,0,0,0,0,1969-70,0.915,0.0,0
Chris Worthy,22, OAK,1,0,0,1,0,5,32,27,5.0,0,0.0,60,0,0,0.0,0,0,0,2,1969-70,0.8440000000000001,0.0,0
Garry Bauman,28, MNS,7,0,0,3,1,22,165,143,4.41,0,0.1,300,0,0,0.0,0,0,0,0,1968-69,0.867,0.0,0
Les Binkley,34, PIT,50,0,10,31,8,158,1609,1451,3.29,0,6.3,2879,0,0,-10.38,0,0,0,0,1968-69,0.902,0.0,107
Johnny Bower*,44, TOR,20,0,6,4,3,37,406,369,2.86,2,2.3,777,0,0,0.25,0,0,0,0,1968-69,0.909,0.0,99
Jacques Caron,28, LAK,3,0,0,2,0,9,68,59,3.86,0,0.2,140,0,0,0.0,0,0,0,0,1968-69,0.868,0.0,0
Gerry Cheevers*,28, BOS,52,0,27,12,13,145,1638,1493,2.8,3,9.3,3109,0,0,5.28,0,0,0,14,1968-69,0.9109999999999999,0.0,96
Roger Crozier,26, DET,35,0,11,15,3,101,971,870,3.33,0,3.9,1818,0,0,-11.91,0,0,0,0,1968-69,0.8959999999999999,0.0,113
Joe Daley,25, PIT,29,0,10,13,3,86,956,870,3.2,2,3.8,1612,0,0,1.71,0,0,0,2,1968-69,0.91,0.0,98
Denis DeJordy,30, CBH,53,0,21,22,7,156,1683,1527,3.15,2,7.3,2975,0,0,-1.59,0,1,1,2,1968-69,0.907,0.0,101
Gerry Desjardins,24, LAK,61,0,19,29,9,189,1845,1656,3.24,4,8.0,3495,0,0,-19.73,0,1,1,6,1968-69,0.898,0.0,112
Dave Dryden,27, CBH,30,0,12,11,2,79,834,755,3.21,3,3.4,1475,0,0,-2.48,0,1,1,0,1968-69,0.905,0.0,103
